牛津高中英语单词表（单元）
Module 1 
A
ability                                      n.能力
achieve                      vt.赢得,取得；实现,成就
achievement                                 n.成就
act                     n.(戏剧的)一幕 vt.表现；行动
actress                                    n.女演员
adult                                     n.成年人
advice                                  n.建议,忠告
affect                                     vt. 影响
after all                                       毕竟
along with                            连同…,随同…
amount                                   n.量,数量
approve                      vt.＆vi.批准,通过; 赞成
argument                      n.争论,辩论;论点,论据
article                                      n.文章
as a matter of fact                            事实上
as though                                 好像,似乎
ashamed                          adj.惭愧的,羞愧的
assembly                               n.集会;会议
at present                                目前,当前
attend                                 vt.出席,参加
attention                                n.注意,关注
  pay attention to                              注意
attractive                    adj.有吸引力的,有魅力的
average                    adj. 一般的,普通的;平均的
B
be supposed to                        应该…,应当…
behavior                           n.<美>行为,举止
bend                     vi.＆vt.弯腰,屈身; (使)弯曲
bookcase                               n.书柜,书橱
boring                 adj. 令人厌倦的,乏味的,无聊的
broadcast                          vt.＆ n.广播;播放
C
cafe                               n.咖啡馆,小餐馆
  Internet café                                 网吧
calorie                                 n.卡路里,卡
can                                n.罐子,金属容器
  trash can                             <美>垃圾桶
cash                                       n.现金
challenging                        adj.具有挑战性的
charge                                 n.负责,掌管
  in charge                              负责,掌管
chat                               vi.＆n.聊天,闲谈
chemical            n.化学物质;化学药品   adj.化学的
close                            adj. 亲密的;靠近的
column                                 n.专栏,栏目
concentrate      vt.＆vi.集中(注意力、思想等),全神贯注
consider                                    vt.考虑
contain                               vt.包含; 容纳
continue                           vi.＆vt.继续,持续
control                                  vt.＆n.控制
cooking                            n.做饭;烹饪,烹调
count                                  vi.算数,有效
cover                             n.(书的)封面;盖子
back cover                               (书的)封底
crazy                             adj.发疯的,疯狂的
like crazy                          发疯似地,拼命地
culture                                     n.文化
curtain                        n.窗帘;(舞台上的)幕布
D
damage                           vt.＆ n.损害,伤害
dessert                              n.(餐后的)甜点
develop                                vt.培养,养成
diet                n.节食;日常饮食 vi.节食,控制饮食
  go on diets                                  节食
display                              vt.陈列,  展览
do with                                 处理,处置
donate                            vt.捐赠,捐献;赠予
drop                                      vt.放弃
dynasty                              n.  朝代,王朝
E-F
earn                                vt.获得;赚,挣得
effect                              n.效果,作用;影响
  side effect                                 副作用
e-mail                             vt.给..发电子邮件
embarrassed         adj. 尴尬的,不好意思的,难为情的
energy                                     n.能量
exact                             adj.精确的,准确的
exercise                               vi.锻炼,运动
experience                             vt.经历,体验
explain                            vt.＆vi.解释,说明
explanation                             n.解释,说明
extra                             adj.额外的,外加的
failure                        n.衰退,衰竭;故障,失灵
fall out                                (头发等)脱落
fault                                   n.过错,错误
field                                 n.运动场,操场
fight                         vi.争吵,争论;打架,争斗
figure                                  n.体形,身材
flat                                        n.套房
follow                            vt.遵循,遵守,依照
for free                                       免费
forbid                                      vt.禁止
former                           adj. 从前的,以前的
freedom                                     n.自由
G
garbage                                     n.垃圾
generation                            n.一代,一代人
German                              n.德语;德国人
gift                                    n.赠品,礼物
go out                                   (灯) 熄灭
grade                              n.学分;成绩;等级
grandparent                    n.祖父(母);外祖父(母)
grown-up                                 n.成年人
guest                                   n.客人,来宾
gym                               n.健身房;体育馆
H-I
hard                              adj.苛刻的,严厉的
be hard on                      对..苛刻,对..要求严格
harmful                                 adj.有害的
host                           n.主持人;主人,东道主
immediately                           adv.立即,马上
in no time                                立刻,很快
in secret                                    秘密地
in the long term                        从长远角度看
inform                                 vt.通知,告知
insist                         vt.＆ vi.坚持,坚持认为
insist on                              坚持,坚持认为
interest                               vt.使…感兴趣
introduce                                   vt.介绍
K-L
kindness                           n.善举;好意,善意
leave                       vt.使..处于某种状态,听任
lifestyle                        n.生活方式,生活习惯
lift                                          举起
literature                                   n.文学
liver                                       n.肝脏
loss                                   n.丢失,损失
lunchtime                               n.午餐时间
M-Q
mad                             adj.狂怒的;疯狂的
mainly                           adv.主要地;大体上
mark                              n.分数;标志,记号
match        n.相配的人或物,配对物 vt.＆vi.匹配,相称
mess                            n.混乱,杂乱,一团糟
miss                                  vt.思念,想念
mix                          vt.＆vi.混合;混淆,弄混
  mix up                        混淆,弄乱;搅匀,拌和
nature                                n.自然,大自然
not…any more                          不再,再也不
now that                                既然;由于
okay                                 adj.好的,行的
operation                                   n.手术
outing                             n.短途旅行,远足
overweight                    adj.肥胖的,体重超标的
P
penfriend                                    n.笔友
period                           n.时间段,时期,阶段
photograph                              n.照片,相片
please                               vt.使满意,取悦
poem                                    n.诗,诗歌
poet                                       n.诗人
post                          n.(在网上发布的)帖子
preparation                             n.准备,筹备
prepare                                vt.＆vi.准备
pressure                                    n.压力
priceless                          adj.无价的,珍贵的
professor                                   n.教授
properly                    adv.适当地,合适地,合理地
punish                                     vt.惩罚
R
reason                                 n.原因,理由
recent                            adj.新近的,最近的
recently                              adv.最近,近来
recognize                     vt.认出,识别;认可,公认
recover            vi.痊愈,恢复健康  vt.重新获得,恢复
regret                   vt.＆vi.遗憾,抱歉;后悔, 惋惜
regular                   adj.定期的,有规律的,经常的
regularly                  adv.定期地,有规律地, 经常
relationship                                 n.关系
relaxed                           adj.放松的,轻松的
require                                vt.要求;需要
respect                             n.＆vt.尊敬,敬重
risk                                    n.＆vt.冒险
rude                              adj.粗鲁的,无礼的
run                                   vt.管理,经营
S
scary                         adj.让人恐慌的,吓人的
scene                     n.(戏剧的)一场;场面; 景色
score                                  n.＆ vt.得分
seldom                           adv.很少,不常,难得
select                                 vt.选择,挑选
selfish                                  adj.自私的
silly                                   adj. 愚蠢的
since                                conj.因为;既然
sincerely                                adv.真诚地
sink                             n.水池,水槽,洗碗池
skin                                        n.皮肤
skinny                          adj.极瘦的,皮包骨的
skip                               vt.＆vi.跳过,略过
slam                                   vt.砰地关上
slim                              adj.苗条的,纤细的
Spanish                        n.西班牙语;西班牙人
spare                            adj.空闲的;多余的
speech                            n.演说,演讲,讲话
sportsman                                n.运动员
stay                                       vi.保持
stay up                                不睡觉,熬夜
stranger                                  n.陌生人
suggest                         vt.建议;暗示,使想起
suggestion                                  n.建议
surprise                            vt.使吃惊,使惊奇
system                                     n.系统
T-Y
teenage                               adj.十几岁的
teenager                       n.(1 3-l 9岁的)青少年
test                              n.＆ vt.测验,检测
title                n.(书的)名称;  (文章的)题目,篇名
touch                                 vt.触摸;接触
touching                          adj.动人的,感人的
trash                                       n.垃圾
truly                             adv.真诚地;真实地
trust                                       vt.信任
unloving                             adj.缺乏爱心的
unpunished                           adj.免受惩罚的
upset             adj.心烦的,苦恼的  vt.使心烦,使苦恼
vacation                            n.<美>假期;休假
valuable                    adj.宝贵的,珍贵的;贵重的
weight                           n.体重;重量;杠铃片
put on weight                              体重增加
weight-loss                        adj.减肥的,瘦身的
woodwork                              n.木工工艺
work                          vi.起作用,有效果,奏效
work out                                      锻炼
yet                                   adv.然而,可是
Module 2 
A
a great deal of                             大量,许多
according to                                   根据
actually                           adv.实际上,事实上
adventure                           n.冒险,冒险经历
adventurous                   adj.喜欢冒险的;冒险的
aeroplane                                   n.飞机
African                         adj.非洲的 n.非洲人
alien                         adj.外星人的 n.外星人
ancient                            adj.古代的,远古的
army                                   n.军队;陆军
artist                                     n.艺术家
as well as                                  也,以及
astonishing                          adj.令人惊讶的
astronaut                                  n.宇航员
B
backpack                                    n.背包
base           n.基地,大本营;底部;基础 vt.以…作基础
beauty                               n.美;美景;美人
bite                                     vi.＆ vt.咬
brave                                   adj.勇敢的
bright                             adj.聪明的,伶俐的
C
cable car                                      缆车
camel                                      n.骆驼
camp                             vi.宿营  n.宿营地
candidate                           n.候选人;申请人
captain                                     n.船长
case                                   n.案子,案件
certain                            adj.确定的,肯定的
childhood                          n.童年,孩童时期
claim                             vt.声称,宣称;要求
clothing                                n.衣服,服装
coincidence                             n.巧合,碰巧
comic strip                                连环漫画
commander                     n.指挥官,司令官,首长
common                                 adj.普通的
compare                               vi.＆vt. 比较
contact                             vt.＆n.联系,接触
convincing                           adj.令人信服的
county                                     n.县;郡
creature                                  n.动物;人
curious                       adj.好奇的;求知欲强的
curse                      n.诅咒;咒语  vt.诅咒;咒骂
D
dark                                       n.黑暗
  in the dark                              在黑暗中
dawn                                  n.黎明,拂晓
disappointed                         adj.感到失望的
discovery                                   n.发现
disturb                                vt.打扰,扰乱
due to                                  由于,因为
dusty                    adj.尘土飞扬的,满是灰尘的
E
Egyptian                adj.埃及的;埃及人的 n.埃及人
empty                                 vt.倾空,倒空
endless                   adj.无穷无尽的,没完没了的
envy                              vt.＆n.羡慕;嫉妒
evidence                                   n.证据
examine                      vt.检查;考察;仔细观察
exist                                      vi.存在
existence                                   n.存在
explorer                                  n.探险家
express                                vt.表达,表示
F
fever                                  n.发烧,发热
fighter                    n.战斗机,歼击机;斗士,战士
finally                                adv.最后,终于
footprint                                    n.脚印
form                 vt.＆vi.形成,构成   n.形状,外形
forward                          adv.向前;向着将来
  look forward to                         期望,盼望    
fresh                                    adj.新鲜的
frightening                          adj.令人恐惧的
full moon                                     满月
fully                       adv.完全地,彻底地,充分地
fur                             n.(动物的)皮毛,毛皮
G-I
giraffe                                   n.长颈鹿
gold                                       n.黄金
government                                 n.政府
grassland                                   n.草原
gun                                       n.枪;炮
hairy                           adj.多毛的,毛茸茸的
harmony                           n.和谐,协调,融洽
heaven                                 n.天堂;天空
heavenly                               adj.天堂般的
helmet                                      n.头盔
horizon                               n.地平线;视野
iceberg                                     n.冰山
illness                                      n.疾病
in case                                       万一
inch                             n.英寸 (长度单位)
including                                 prep.包括
indeed                                adv.的确,确实
interview                           vt.＆n.采访,访问
J-M
jewel                                       n.宝石
kingdom                                    n.王国
lately                                 adv.最近,近来
life jacket                                   救生衣
live                               vt.实践,身体力行
local                             adj.当地的,地方的
look into                                 调查;检查
make up                             编造,捏造,杜撰
maker                              n.制造者,制造商
manage                           vi.设法,努力,争取
man-like                             adj.样子像人的
mild                             adj.平和的,温和的
monster                                n.怪物;怪兽
mountain climber                           n.登山者
multi-colored                         adj.色彩繁多的
mummy                                  n.木乃伊
murder                             n.＆vt.谋杀,凶杀
mysterious                               adj.神秘的
mystery                          n.神秘,神秘的事物
N-O
national                                 adj.国家的
nightmare                    n.噩梦,梦魇,可怕的事物
north-eastern                           adj.东北方的
northwards                                 adv.向北
note                                   n.便条,短信
officially                          adv.官方地,正式地
on average                                    平均
once                                     conj.一旦
orbit                     n.轨道  vt.绕…的轨道飞行
organize                                   vt.组织
outer                             adj.外部的,外面的
outer space                           外层空间,太空
P
pay off                            成功,带来好结果
perfect                                  adj.完美的
perfectly                      adv.完美地,不折不扣地
pick                                       vt.挑选
pilot                                     n.飞行员
position                                n.位置,职位
possibility                                 n.可能性
possibly                                   adv.可能
present                            adj.在场的,出席的
preserve                           vt.保存;保护;保持
progress                                n.进展,进步
project                        n.工程;计划;项目,课题
prove                             vt.＆vi.证明,证实
provide                                vt.提供,给予
psychological                    adj.心理的,心理上的
publish                                    vt.出版
puzzled                          adj.困惑的,茫然的
puzzling                         adj.令人困惑不解的
Q-R
qualified                        adj.合格的,有资格的
quality                                n.品质; 质量
raft                          n.筏子  vi.乘筏子漂流
reach                                  vi.延伸,达到
research                            n.＆vt.＆vi.研究
result                                  vi.结果,导致
riches                                 n.(复数)财富
right away                                立刻,马上
rocket                                      n.火箭
rule out                                       排除
run after                                   追,追赶
S
sail                                    n.航行;风帆
  set sail                                     启航
scare                                vt.使恐惧,惊吓
schedule                    n.日程表,时间表, 进度表
scientific                                adj.科学的
search                     n.＆vi.＆vt.搜索,搜寻,搜查
secretary                                    n.秘书
shortly                               adv.不久,很快
shoulder                                  n.肩,肩部
show up                                 出现,‘露面
sick                         adj.感到恶心的; 患病的
sighting                                n.目击,目睹
silence                                 n.沉默;寂静
similar                            adj.相似的,类似的
snow-capped           adj.(山等)顶部积雪的,带雪冠的
south-west   n.西南adj.西南方的 adv.在西南方向西南方
speechless    adj.无法用语言形容的; 一时说不出话来的
spot                                   n.地点,场所
  tourist spot                                旅游点
state                                     n.州;国家
step up                              加紧,加强,促进
strange-looking                       adj.怪模怪样的
strangely                      adv.奇怪地,莫名其妙地
strength                                n.力量,力气
successful                                adj.成功的
sunrise                                      n.日出
sunset                                      n.日落
supply                          n.供给,补给 vt.提供
support                        vt.＆n.支持;支撑;搀扶
surprisingly                   adv.令人惊讶地,意外地
surround                               vt.包围,环绕
survival                                n.幸存,生还
survive                            vt.＆vi.幸存,生还
survivor                                  n.幸存者
T
take charge of                            负责,接管
tale                                    n.故事,传说
task                                        n.任务
thick                               adj.浓密的;厚的
Tibetan          adj.西藏的;藏族人的 n.西藏人,藏族人
tiring                         adj.让人疲劳的,累人的
torch                            n.手电筒;火把,火炬
total                 adj.完全的,全然的;全部的,总计的
tower              vt.高耸,屹立;高高升起   n.塔,塔楼
treasure                                n.财宝,财富
U
UFO abbr.不明飞行物 (Unidentified Flying Object的缩写)
uncomfortable                  adj.不舒服的,不自在的
unexplained                    adj.无法解释的,神秘的
up close                                    靠近地
upside down                      颠倒,上下翻转过来
V
valley                                  n.山谷,峡谷
vast                              adj.广阔的,辽阔的
view                                   n.景色,风景
viewer                               n.观看者,观众
villager                                     n.村民
virus                                       n.病毒
W
warning                                n.警告;提醒
website                                     n.网站
westerner                                 n.西方人
whatever                     pron.无论什么,无论何事
white-skinned                          adj.白皮肤的
white-water rafting               n.白浪漂流,激浪漂流
wild                              adj.野生的;野性的
within                          prep.在..之内,不超过
witness                   n.目击者,证人 vt.目击,见证
Y
Yeti              n.雪人,野人 (=Abominable Snowman)
Module 3 
A
accept                                 vt.接受;接纳
access              vt.接近,使用 n.接近的机会,享用权
ache                                   vi.& n.疼痛
across                            prep.在..各处,遍及
action                             n.行为,动作;行动
add                            vt.补充说;补充,添加
adopt                                     vt.采用
airfield                                     n.机场
airplane                                    n.飞机
Angle                                  n.盎格鲁人
Anglo-Saxon                    n. 盎格鲁一撒克逊语
archaeological                    adj.考古的,考古学的
archaeologist                             n.考古学家
as a whole                          作为整体,总体上
ash                                n.火山灰;灰,灰烬
avoid                                  vt.避开;避免
B
bacon                              n.熏猪肉,成猪肉
ban                                   vt.禁止;取缔
bang                          vi.碰撞;发出砰的响声
bang into                          (不小心)撞着某物
battleship                                   n.战舰
be made up of                       由..组成,由..构成
beat                                  vi.(心脏)跳动
binoculars                             n.双筒望远镜
blood                                    n.血,血液
  blood pressure                               血压
board                                  n.甲板;木板
  Oil board  在船上(飞机上或火车上);上船(飞机或火车)
body　　                                   n.尸体
bomb 　　                        vt.轰炸    n.炸弹
bone                                     n.骨,骨头
brush                     vt.轻擦,轻拂,掠过;轻轻擦拭
bull shark                                     牛鲨
bump                                 vi.&  n.撞,碰
burial                                      n.埋葬
bury                                vt.埋,埋葬;安葬
C
Can't help (doing)       禁不住(做某事),忍不住(做某事)
care about                       关注,关心;在意;担心
carry out                             实施,执行,进行
Celtic                                  n.凯尔特语
chamber                     n.(作特定用途的)房间,室
  burial chamber                               墓室
chance                           n.可能性,机率,机会
change                                      n.变化
character                         n.(书写或印刷)符号
  Chinese character                            汉字
china                                       n.瓷器
citizen                                      n.市民
civilization                                  n.文明
class                                   n.阶级,阶层
combine                 vt.&vi.组合,(使)联合,(使)结合
commercial                        adj.商业的,贸易的
complex                                 adj.复杂的
concerned                   adj.担心的,关心的;有关的
condition                      n.状态,状况;条件,情形
  in good condition                   处于良好的状态
confidently                    adv.自信地,信心十足地
confusing                 adj.令人迷惑的,令人不解的
confusion                              n.混乱;混淆
conquer                                    vt.征服
conquest                                    n.征服
consist                                 vi.组成,构成
consist of                         由…组成,由…构成
context                               n.上下文,语境
contribute                              vi.& vt.贡献
contribute to                         是…的成因之一
corridor                                     n.走廊
create                             vt.创造;创建;创作
cultural                                  adj.文化的
D
darkness                                    n.黑暗
data                           n.(datum的复数)数据
deadly                                  adj.致命的
declare                            vt.宣布,宣告,宣称
deeply                             adv.深,沉;深深地
department                                  n.部门
depend                             vi.视..而定;依靠
depend on                视..而定,取决于,依赖于,依靠
deserted                    adj.空无一人的; 被离弃的
despite                                   prep.尽管
destination                                n.目的地
destroy                                vt.毁坏,摧毁
development                            n.发展;开发
dialect                                      n.方言
differ                                v.相异,有区别
differ from                          和..不同,不同于
difficulty                                    n.困难
direction                                    n.方向
director                         n. 主管,负责人;主任
disagree                    vi.意见不一,分歧; 不一致
display                                     n.展品
distance                                     n.距离
document                               n.文献;文件
drawing                           n. 绘画;绘画艺术
drive                      vt.迫使(某人生气、发疯等)
drown                             vi.& vt.溺死,淹死
durian                                      n.榴莲
E
easily                          adv.容易地,不费力地
element                   n.成分,组成部分;元素,要素
emperor                                     n.皇帝
empire                                      n.帝国
ending                             n.词尾;结尾,结局
enormous                         adj.巨大的,庞大的
erupt                               vt.(火山等)爆发
European              adj.欧洲的; 欧洲人的 n.欧洲人
eventually                        adv.最后,最终,终于
everyday                          adj.日常的;每天的
experiment                              n.实验,试验
explode                                    vi.爆炸
F
factor                                  n.因素,要素
faithfully                          adv.忠实地,忠诚地
 Yours faithfully 
　　　　　 <英>你忠实的(正式信函末尾署名前的套语)
fear                                n.＆vt.害怕,恐惧
feed                            vt.为..提供食物,养活
  feed on                               以..为食,吃
fierce                             adj.凶猛的,强悍的
fighting                            n.战斗;战争;打斗
firmly                            adv.坚定地;牢牢地
fly                                        vt.空运
fog                                           n.雾
footstep                              n.脚步声;脚步
formation                                   n.形成
freeze                          vt.&vi.(使)僵住,呆住
  be frozen with                        由于..而呆住
G
Germanic                          adj.日尔曼民族的
glance                              vi.＆ n.瞥,扫视
goods                                  n.商品;货物
gradually                         adv.渐渐地,逐渐地
great white shark                             大白鲨
Greek   adj.希腊语的;希腊人的;希腊的 n.希腊语;希腊人
H
heat                                     n.热;热度
helper                                    n.帮助者
Hindu                      n.印度人   adj.印度人的
hopefully                              adv.有希望地
house                                 vt.收藏;储藏
I
ignore                                      vt.忽视
impact                       n.巨大的影响;冲击,碰撞
impossible                             adj.不可能的
in memory of                                  纪念
in return                                  作为回报
in use                                      使用中
include                                     vt.包括
indicate                       vt.显示,表示;象征,暗示
influence                                vt.&n.影响
institute                n.(教育、专业等的)机构;研究所
invade                                 vt.侵略,入侵
invasion                                    n.侵略
J
jewellery                                    n.珠宝
Jute                                      n.朱特人
L
Latin                       adj.拉丁语的   n.拉丁语
latter           adj.(两者中)后者的   n.(两者中的)后者
lava                                 n.熔岩;火山岩
lecture                                      n.讲座
lift up                                   拿起,举起
lightning                                    n.闪电
likely                                   adj.可能的
likewise                                 adv.同样地
link                        vt.& vi.联系;相关联;连接
  be linked to               和..有联系的,和..有关联的
look up                     (在字典或参考书中)查找
M
major                                   adj.主要的
make progress                             取得进步
make sense                     有意义;有道理,讲得通
make the most of                           充分利用
Malay         n.马来语;马来人 adj.马来语的;马来人的
material                                n.材料;物质
memorial                      n.纪念馆   adj.纪念的
method                                     n.方法
military                           adj.军事的;武装的
misuse                                 vt.误用;滥用
modern      adj.近代的,当代的;现代化的;时髦的,时新的
mosaic                                    n.马赛克
movie                                  n.<美>电影
mud                                 n.泥,泥浆,烂泥
muscle                                      n.肌肉
mutton                                      n.羊肉
My goodness!                                 天哪!
N
nightshirt                                    n.睡衣
no more                              不复存在;不再
Norman               n.诺曼人  adj.诺曼的;诺曼人的
Norse                                    n.挪威语
nowadays                             adv.现今,现在
nowhere                          adv.无处,到处都不
numerous                         adj.无数的,许多的
O
observe                       vt.观察;注意到,观察到
occasion                                n.场合,机会
official                            adj.官方的,正式的
opposite                 n.相反的事物, 相对立的事物
originally                         adv.最初,原先,起先
overall                     adj.总体的,全部的,全面的
overthrow                              vt.推翻,颠覆
OX                            n.(复数Oxen)牛;公牛
P
paint                           vt.(用颜料等)画;油漆
panic                              vi.& n.惊慌,恐慌
passage                                 n.通道,过道
pay back                            报答;偿还(借款)
peak                                     n.山峰;峰
personally                             adv.亲自,当面
philosophy                                  n.哲学
phrase                                  n.词组,短语
physical                    adj.有形的;实物的;物质的
pick up                                  拿起,捡起
pictograph                               n.象形文字
pictophonetic                             adj.形声的
plural                                   adj.复数的
poetry                                      n.诗歌
pot                                        n.罐,壶
president                                    n.总统
prisoner                                     n.囚犯
process                                 n.过程;进程
promise               vt.& vi.许诺,答应   n.许诺,诺言
pronounce                                 vt. 发音
pronunciation                            n.发音,语音
pure                                adj.纯的,纯洁的
R
racial                                   adj.种族的
raise                                       vt.饲养
rare                              adj.稀有的,罕见的
reach out                          (手)伸出;伸出(手)
record                                      vt.记录
reduce                                 vt.减轻;减少
reflect                                 vt.反映;反射
related                          adj.相关的,有联系的
  be related to                    和..相关,和..有联系
remains                          n.遗迹,遗址;残留物
replace                            vt.替换,代替,取代
represent                                   vt.代表
republic                          n.共和国;共和政体
rest                                    n.其他,其余
reunite                      vt.&vi.重新统一; 再联合
ring nut                     (铃声、枪声等)突然响起
rock                                        n.岩石
Roman               n.罗马人   adj.罗马的,罗马人的
rough                                   adj.粗糙的
route                                   n.路线,线路
ruin                          n.(常作ruins)废墟,遗迹
rule                                   vt.＆ n.统治
S
sandstorm                            n.沙尘暴,风沙
Saxon                                  n.撒克逊人
Scandinavian                    adj. 斯堪的纳维亚的
second                                   n.秒;片刻
sense                   n.感觉,感官;意义  vt.感觉到
servant                                     n.仆人
set                     vt.确定(标准等),制定(规则等)
shiny                             adj.发亮的,光亮的
sight                              n.视野;视力;视觉
in sight                      看得到,在视力范围之内
similarity                         n.相似点;相似,类似
simplify                                    vt.简化
sink                         vt.&vi.(使)下沉,(使)沉没
smell                              n.味道,气味;嗅觉
sneak                             n.偷偷摸摸的行为
sniff                                      vt.嗅,闻
snowstorm                                n.暴风雪
soft                adj.(声音)轻的,轻柔的,软的,柔软的
solution                                n.解决办法
spice                                n.香料,调味品
spread                               n. vt.＆vi.传播
square              adj.方的,正方形的  n.方型,正方形
standard                           n.标准 adj.标准的
stare                                vi.凝视,盯着看
stare up at                                 抬头凝视
step                                        n.台阶
stick                                    vt.将..刺入
still                              adj.静止的,不动的
stone                                     n.石,石头
stressed                     adj.紧张的,感到有压力的
style                                       n.风格
sudden                                  adj.突然的
  all of a sudden                           突然,猛地
sweat                       vi.出汗,流汗   n.汗,汗水
Swedish  adj.瑞典的;瑞典人的;瑞典语的n.瑞典人;瑞典语
symbol                                n.符号; 象征
T
take control of                    控制,取得对..的控制
take over                                 夺取;接管
Tamil  n.泰米尔语;泰米尔人 adj.泰米尔语的;泰米尔人的
tap                                     n.＆vi.轻拍
television                                   n.电视
temple                                   n.庙,寺庙
temporarily                        adv.临时地,暂时地
throughout                           prep.贯穿;遍及
tiger shark                                    虎鲨
tip                                         n.建议
tongue                                 n.语言;舌头
mother tongue                           母语,本国语
touch                     n.触觉;接触   vt.触摸;接触
trade                                   n.贸易,交易
transplant                               n.& vt.移植
treatment                           n.治疗;处理,对待
tribe                                   n.部落,部族
truth                                   n.事实;真理
turn into                                  (使)变成
type                                   n.类型;型号
U
uncover                          vt.发现;揭开(盖子)
